question,answer,instruction
What is the plot of Furiosa: A Mad Max Saga?,"The plot of 'Furiosa: A Mad Max Saga' is about As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home..",Answer the following question:
Who are in the cast of Furiosa: A Mad Max Saga?,"The cast of 'Furiosa: A Mad Max Saga' includes Anya Taylor-Joy, Chris Hemsworth, Tom Burke, Alyla Browne, George Shevtsov, Lachy Hulme, John Howard, Angus Sampson, Charlee Fraser, Elsa Pataky.",Answer the following question:
Who directed Furiosa: A Mad Max Saga?,'Furiosa: A Mad Max Saga' was directed by George Miller.,Answer the following question:
What are the genres of Furiosa: A Mad Max Saga?,"The genres of 'Furiosa: A Mad Max Saga' are Action, Adventure, Science Fiction.",Answer the following question:
Who is the lead actor in Furiosa: A Mad Max Saga?,The lead actor in 'Furiosa: A Mad Max Saga' is Anya Taylor-Joy.,Answer the following question:
When was Furiosa: A Mad Max Saga released?,"'Furiosa: A Mad Max Saga' was released on May 22, 2024.",Answer the following question:
Who are the supporting actors in Furiosa: A Mad Max Saga?,"The supporting actors in 'Furiosa: A Mad Max Saga' are Chris Hemsworth, Tom Burke, Alyla Browne, George Shevtsov, Lachy Hulme, John Howard, Angus Sampson, Charlee Fraser, Elsa Pataky.",Answer the following question:
What is the rating of Furiosa: A Mad Max Saga?,The rating of 'Furiosa: A Mad Max Saga' is 7.65.,Answer the following question:
What is the movie Furiosa: A Mad Max Saga about?,"The film titled 'Furiosa: A Mad Max Saga' was released on May 22, 2024. It falls under the genres of Action, Adventure, Science Fiction. The film was directed by George Miller and stars Anya Taylor-Joy, Chris Hemsworth, Tom Burke, Alyla Browne, George Shevtsov, Lachy Hulme, John Howard, Angus Sampson, Charlee Fraser, Elsa Pataky. The lead actor is Anya Taylor-Joy. Plot summary: As the world fell, young Furiosa is snatched from the Green Place of Many Mothers and falls into the hands of a great Biker Horde led by the Warlord Dementus. Sweeping through the Wasteland they come across the Citadel presided over by The Immortan Joe. While the two Tyrants war for dominance, Furiosa must survive many trials as she puts together the means to find her way home.. It has received a rating of 7.65.",Answer the following question:
What is the plot of The Garfield Movie?,"The plot of 'The Garfield Movie' is about Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father - scruffy street cat Vic - Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist..",Answer the following question:
Who are in the cast of The Garfield Movie?,"The cast of 'The Garfield Movie' includes Chris Pratt, Samuel L. Jackson, Hannah Waddingham, Ving Rhames, Nicholas Hoult, Cecily Strong, Harvey Guillen, Brett Goldstein, Bowen Yang, Snoop Dogg.",Answer the following question:
Who directed The Garfield Movie?,'The Garfield Movie' was directed by Mark Dindal.,Answer the following question:
What are the genres of The Garfield Movie?,"The genres of 'The Garfield Movie' are Animation, Comedy, Family, Adventure.",Answer the following question:
Who is the lead actor in The Garfield Movie?,The lead actor in 'The Garfield Movie' is Chris Pratt.,Answer the following question:
When was The Garfield Movie released?,"'The Garfield Movie' was released on April 30, 2024.",Answer the following question:
Who are the supporting actors in The Garfield Movie?,"The supporting actors in 'The Garfield Movie' are Samuel L. Jackson, Hannah Waddingham, Ving Rhames, Nicholas Hoult, Cecily Strong, Harvey Guillen, Brett Goldstein, Bowen Yang, Snoop Dogg.",Answer the following question:
What is the rating of The Garfield Movie?,The rating of 'The Garfield Movie' is 7.254.,Answer the following question:
What is the movie The Garfield Movie about?,"The film titled 'The Garfield Movie' was released on April 30, 2024. It falls under the genres of Animation, Comedy, Family, Adventure. The film was directed by Mark Dindal and stars Chris Pratt, Samuel L. Jackson, Hannah Waddingham, Ving Rhames, Nicholas Hoult, Cecily Strong, Harvey Guillen, Brett Goldstein, Bowen Yang, Snoop Dogg. The lead actor is Chris Pratt. Plot summary: Garfield, the world-famous, Monday-hating, lasagna-loving indoor cat, is about to have a wild outdoor adventure! After an unexpected reunion with his long-lost father - scruffy street cat Vic - Garfield and his canine friend Odie are forced from their perfectly pampered life into joining Vic in a hilarious, high-stakes heist.. It has received a rating of 7.254.",Answer the following question:
What is the plot of Descendants: The Rise of Red?,"The plot of 'Descendants: The Rise of Red' is about After the Queen of Hearts incites a coup on Auradon, her rebellious daughter Red and Cinderella's perfectionist daughter Chloe join forces and travel back in time to try to undo the traumatic event that set Red's mother down her villainous path..",Answer the following question:
Who are in the cast of Descendants: The Rise of Red?,"The cast of 'Descendants: The Rise of Red' includes Kylie Cantrall, Malia Baker, Ruby Rose Turner, Morgan Dudley, Dara Renee, Joshua Colley, Rita Ora, Brandy Norwood, Mars, Anthony Pyatt.",Answer the following question:
Who directed Descendants: The Rise of Red?,'Descendants: The Rise of Red' was directed by Jennifer Phang.,Answer the following question:
What are the genres of Descendants: The Rise of Red?,"The genres of 'Descendants: The Rise of Red' are Fantasy, Adventure, Family, Comedy.",Answer the following question:
Who is the lead actor in Descendants: The Rise of Red?,The lead actor in 'Descendants: The Rise of Red' is Kylie Cantrall.,Answer the following question:
When was Descendants: The Rise of Red released?,"'Descendants: The Rise of Red' was released on July 11, 2024.",Answer the following question:
Who are the supporting actors in Descendants: The Rise of Red?,"The supporting actors in 'Descendants: The Rise of Red' are Malia Baker, Ruby Rose Turner, Morgan Dudley, Dara Renee, Joshua Colley, Rita Ora, Brandy Norwood, Mars, Anthony Pyatt.",Answer the following question:
What is the rating of Descendants: The Rise of Red?,The rating of 'Descendants: The Rise of Red' is 7.216.,Answer the following question:
What is the movie Descendants: The Rise of Red about?,"The film titled 'Descendants: The Rise of Red' was released on July 11, 2024. It falls under the genres of Fantasy, Adventure, Family, Comedy. The film was directed by Jennifer Phang and stars Kylie Cantrall, Malia Baker, Ruby Rose Turner, Morgan Dudley, Dara Renee, Joshua Colley, Rita Ora, Brandy Norwood, Mars, Anthony Pyatt. The lead actor is Kylie Cantrall. Plot summary: After the Queen of Hearts incites a coup on Auradon, her rebellious daughter Red and Cinderella's perfectionist daughter Chloe join forces and travel back in time to try to undo the traumatic event that set Red's mother down her villainous path.. It has received a rating of 7.216.",Answer the following question:
What is the plot of Kingdom of the Planet of the Apes?,"The plot of 'Kingdom of the Planet of the Apes' is about Several generations following Caesar's reign, apes - now the dominant species - live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike..",Answer the following question:
Who are in the cast of Kingdom of the Planet of the Apes?,"The cast of 'Kingdom of the Planet of the Apes' includes Owen Teague, Freya Allan, Kevin Durand, Peter Macon, William H. Macy, Eka Darville, Travis Jeffery, Lydia Peckham, Neil Sandilands, Ras-Samuel Welda'abzgi.",Answer the following question:
Who directed Kingdom of the Planet of the Apes?,'Kingdom of the Planet of the Apes' was directed by Wes Ball.,Answer the following question:
What are the genres of Kingdom of the Planet of the Apes?,"The genres of 'Kingdom of the Planet of the Apes' are Science Fiction, Adventure, Action.",Answer the following question:
Who is the lead actor in Kingdom of the Planet of the Apes?,The lead actor in 'Kingdom of the Planet of the Apes' is Owen Teague.,Answer the following question:
When was Kingdom of the Planet of the Apes released?,"'Kingdom of the Planet of the Apes' was released on May 08, 2024.",Answer the following question:
Who are the supporting actors in Kingdom of the Planet of the Apes?,"The supporting actors in 'Kingdom of the Planet of the Apes' are Freya Allan, Kevin Durand, Peter Macon, William H. Macy, Eka Darville, Travis Jeffery, Lydia Peckham, Neil Sandilands, Ras-Samuel Welda'abzgi.",Answer the following question:
What is the rating of Kingdom of the Planet of the Apes?,The rating of 'Kingdom of the Planet of the Apes' is 7.143.,Answer the following question:
What is the movie Kingdom of the Planet of the Apes about?,"The film titled 'Kingdom of the Planet of the Apes' was released on May 08, 2024. It falls under the genres of Science Fiction, Adventure, Action. The film was directed by Wes Ball and stars Owen Teague, Freya Allan, Kevin Durand, Peter Macon, William H. Macy, Eka Darville, Travis Jeffery, Lydia Peckham, Neil Sandilands, Ras-Samuel Welda'abzgi. The lead actor is Owen Teague. Plot summary: Several generations following Caesar's reign, apes - now the dominant species - live harmoniously while humans have been reduced to living in the shadows. As a new tyrannical ape leader builds his empire, one young ape undertakes a harrowing journey that will cause him to question all he's known about the past and to make choices that will define a future for apes and humans alike.. It has received a rating of 7.143.",Answer the following question:
What is the plot of Out of Exile?,"The plot of 'Out of Exile' is about Recently paroled thief Gabriel Russell tries to balance his life and mend a troubled family as an FBI agent hunts him down, along with his crew after a botched armored car robbery..",Answer the following question:
Who are in the cast of Out of Exile?,"The cast of 'Out of Exile' includes Adam Hampton, Karrie Cox, Kyle Jacob Henry, Ryan Merriman, Peter Greene, Hayley McFarland, Aurelian Smith Jr., Luce Rains, Bruce Davis.",Answer the following question:
Who directed Out of Exile?,'Out of Exile' was directed by Kyle Kauwika Harris.,Answer the following question:
What are the genres of Out of Exile?,"The genres of 'Out of Exile' are Thriller, Drama, Action, Crime.",Answer the following question:
Who is the lead actor in Out of Exile?,The lead actor in 'Out of Exile' is Adam Hampton.,Answer the following question:
When was Out of Exile released?,"'Out of Exile' was released on January 20, 2023.",Answer the following question:
Who are the supporting actors in Out of Exile?,"The supporting actors in 'Out of Exile' are Karrie Cox, Kyle Jacob Henry, Ryan Merriman, Peter Greene, Hayley McFarland, Aurelian Smith Jr., Luce Rains, Bruce Davis.",Answer the following question:
What is the rating of Out of Exile?,The rating of 'Out of Exile' is 6.132.,Answer the following question:
What is the movie Out of Exile about?,"The film titled 'Out of Exile' was released on January 20, 2023. It falls under the genres of Thriller, Drama, Action, Crime. The film was directed by Kyle Kauwika Harris and stars Adam Hampton, Karrie Cox, Kyle Jacob Henry, Ryan Merriman, Peter Greene, Hayley McFarland, Aurelian Smith Jr., Luce Rains, Bruce Davis. The lead actor is Adam Hampton. Plot summary: Recently paroled thief Gabriel Russell tries to balance his life and mend a troubled family as an FBI agent hunts him down, along with his crew after a botched armored car robbery.. It has received a rating of 6.132.",Answer the following question:
What is the plot of Bad Boys: Ride or Die?,"The plot of 'Bad Boys: Ride or Die' is about After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves..",Answer the following question:
Who are in the cast of Bad Boys: Ride or Die?,"The cast of 'Bad Boys: Ride or Die' includes Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Paola Nunez, Eric Dane, Ioan Gruffudd, Jacob Scipio, Melanie Liburd, Tasha Smith.",Answer the following question:
Who directed Bad Boys: Ride or Die?,"'Bad Boys: Ride or Die' was directed by Adil El Arbi, Bilall Fallah.",Answer the following question:
What are the genres of Bad Boys: Ride or Die?,"The genres of 'Bad Boys: Ride or Die' are Action, Crime, Thriller, Comedy.",Answer the following question:
Who is the lead actor in Bad Boys: Ride or Die?,The lead actor in 'Bad Boys: Ride or Die' is Will Smith.,Answer the following question:
When was Bad Boys: Ride or Die released?,"'Bad Boys: Ride or Die' was released on June 05, 2024.",Answer the following question:
Who are the supporting actors in Bad Boys: Ride or Die?,"The supporting actors in 'Bad Boys: Ride or Die' are Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Paola Nunez, Eric Dane, Ioan Gruffudd, Jacob Scipio, Melanie Liburd, Tasha Smith.",Answer the following question:
What is the rating of Bad Boys: Ride or Die?,The rating of 'Bad Boys: Ride or Die' is 7.114.,Answer the following question:
What is the movie Bad Boys: Ride or Die about?,"The film titled 'Bad Boys: Ride or Die' was released on June 05, 2024. It falls under the genres of Action, Crime, Thriller, Comedy. The film was directed by Adil El Arbi, Bilall Fallah and stars Will Smith, Martin Lawrence, Vanessa Hudgens, Alexander Ludwig, Paola Nunez, Eric Dane, Ioan Gruffudd, Jacob Scipio, Melanie Liburd, Tasha Smith. The lead actor is Will Smith. Plot summary: After their late former Captain is framed, Lowrey and Burnett try to clear his name, only to end up on the run themselves.. It has received a rating of 7.114.",Answer the following question:
What is the plot of Beverly Hills Cop: Axel F?,"The plot of 'Beverly Hills Cop: Axel F' is about Forty years after his unforgettable first case in Beverly Hills, Detroit cop Axel Foley returns to do what he does best: solve crimes and cause chaos..",Answer the following question:
Who are in the cast of Beverly Hills Cop: Axel F?,"The cast of 'Beverly Hills Cop: Axel F' includes Eddie Murphy, Joseph Gordon-Levitt, Taylour Paige, Judge Reinhold, John Ashton, Paul Reiser, Bronson Pinchot, Kevin Bacon, Jameison Walker II, Tony Jones.",Answer the following question:
Who directed Beverly Hills Cop: Axel F?,'Beverly Hills Cop: Axel F' was directed by Mark Molloy.,Answer the following question:
What are the genres of Beverly Hills Cop: Axel F?,"The genres of 'Beverly Hills Cop: Axel F' are Action, Comedy, Crime.",Answer the following question:
Who is the lead actor in Beverly Hills Cop: Axel F?,The lead actor in 'Beverly Hills Cop: Axel F' is Eddie Murphy.,Answer the following question:
When was Beverly Hills Cop: Axel F released?,"'Beverly Hills Cop: Axel F' was released on June 20, 2024.",Answer the following question:
Who are the supporting actors in Beverly Hills Cop: Axel F?,"The supporting actors in 'Beverly Hills Cop: Axel F' are Joseph Gordon-Levitt, Taylour Paige, Judge Reinhold, John Ashton, Paul Reiser, Bronson Pinchot, Kevin Bacon, Jameison Walker II, Tony Jones.",Answer the following question:
What is the rating of Beverly Hills Cop: Axel F?,The rating of 'Beverly Hills Cop: Axel F' is 6.859.,Answer the following question:
What is the movie Beverly Hills Cop: Axel F about?,"The film titled 'Beverly Hills Cop: Axel F' was released on June 20, 2024. It falls under the genres of Action, Comedy, Crime. The film was directed by Mark Molloy and stars Eddie Murphy, Joseph Gordon-Levitt, Taylour Paige, Judge Reinhold, John Ashton, Paul Reiser, Bronson Pinchot, Kevin Bacon, Jameison Walker II, Tony Jones. The lead actor is Eddie Murphy. Plot summary: Forty years after his unforgettable first case in Beverly Hills, Detroit cop Axel Foley returns to do what he does best: solve crimes and cause chaos.. It has received a rating of 6.859.",Answer the following question:
What is the plot of The Exorcism?,"The plot of 'The Exorcism' is about A troubled actor begins to unravel while shooting a supernatural horror film, leading his estranged daughter to wonder if he's slipping back into his past addictions or if there's something more sinister at play..",Answer the following question:
Who are in the cast of The Exorcism?,"The cast of 'The Exorcism' includes Russell Crowe, Ryan Simpkins, Sam Worthington, Chloe Bailey, Adam Goldberg, David Hyde Pierce, Adrian Pasdar, Tracey Bonner, Samantha Mathis, Marcenae Lynette.",Answer the following question:
Who directed The Exorcism?,'The Exorcism' was directed by Joshua John Miller.,Answer the following question:
What are the genres of The Exorcism?,"The genres of 'The Exorcism' are Horror, Thriller.",Answer the following question:
Who is the lead actor in The Exorcism?,The lead actor in 'The Exorcism' is Russell Crowe.,Answer the following question:
When was The Exorcism released?,"'The Exorcism' was released on May 30, 2024.",Answer the following question:
Who are the supporting actors in The Exorcism?,"The supporting actors in 'The Exorcism' are Ryan Simpkins, Sam Worthington, Chloe Bailey, Adam Goldberg, David Hyde Pierce, Adrian Pasdar, Tracey Bonner, Samantha Mathis, Marcenae Lynette.",Answer the following question:
What is the rating of The Exorcism?,The rating of 'The Exorcism' is 4.663.,Answer the following question:
What is the movie The Exorcism about?,"The film titled 'The Exorcism' was released on May 30, 2024. It falls under the genres of Horror, Thriller. The film was directed by Joshua John Miller and stars Russell Crowe, Ryan Simpkins, Sam Worthington, Chloe Bailey, Adam Goldberg, David Hyde Pierce, Adrian Pasdar, Tracey Bonner, Samantha Mathis, Marcenae Lynette. The lead actor is Russell Crowe. Plot summary: A troubled actor begins to unravel while shooting a supernatural horror film, leading his estranged daughter to wonder if he's slipping back into his past addictions or if there's something more sinister at play.. It has received a rating of 4.663.",Answer the following question:
What is the plot of Monkey Man?,"The plot of 'Monkey Man' is about Kid is an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city's sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him..",Answer the following question:
Who are in the cast of Monkey Man?,"The cast of 'Monkey Man' includes Dev Patel, Sharlto Copley, Pitobash, Adithi Kalkunte, Sikandar Kher, Makrand Deshpande, Ashwini Kalsekar, Vipin Sharma, Sobhita Dhulipala, Brahim Achabbakhe.",Answer the following question:
Who directed Monkey Man?,'Monkey Man' was directed by Dev Patel.,Answer the following question:
What are the genres of Monkey Man?,"The genres of 'Monkey Man' are Action, Thriller.",Answer the following question:
Who is the lead actor in Monkey Man?,The lead actor in 'Monkey Man' is Dev Patel.,Answer the following question:
When was Monkey Man released?,"'Monkey Man' was released on April 03, 2024.",Answer the following question:
Who are the supporting actors in Monkey Man?,"The supporting actors in 'Monkey Man' are Sharlto Copley, Pitobash, Adithi Kalkunte, Sikandar Kher, Makrand Deshpande, Ashwini Kalsekar, Vipin Sharma, Sobhita Dhulipala, Brahim Achabbakhe.",Answer the following question:
What is the rating of Monkey Man?,The rating of 'Monkey Man' is 7.058.,Answer the following question:
What is the movie Monkey Man about?,"The film titled 'Monkey Man' was released on April 03, 2024. It falls under the genres of Action, Thriller. The film was directed by Dev Patel and stars Dev Patel, Sharlto Copley, Pitobash, Adithi Kalkunte, Sikandar Kher, Makrand Deshpande, Ashwini Kalsekar, Vipin Sharma, Sobhita Dhulipala, Brahim Achabbakhe. The lead actor is Dev Patel. Plot summary: Kid is an anonymous young man who ekes out a meager living in an underground fight club where, night after night, wearing a gorilla mask, he is beaten bloody by more popular fighters for cash. After years of suppressed rage, Kid discovers a way to infiltrate the enclave of the city's sinister elite. As his childhood trauma boils over, his mysteriously scarred hands unleash an explosive campaign of retribution to settle the score with the men who took everything from him.. It has received a rating of 7.058.",Answer the following question:
What is the plot of Alice in Terrorland?,"The plot of 'Alice in Terrorland' is about A recently bereaved teenage girl goes to live with her aunt in a secluded woodland house, unaware that sinister forces lurk within..",Answer the following question:
Who are in the cast of Alice in Terrorland?,"The cast of 'Alice in Terrorland' includes Lizzy Willis, Rula Lenska, Jon-Paul Gates, Steve Wraith, Lila Sarner, Nigel Troup, Nikol Atanasova, Rikki Kimpton.",Answer the following question:
Who directed Alice in Terrorland?,'Alice in Terrorland' was directed by Richard John Taylor.,Answer the following question:
What are the genres of Alice in Terrorland?,"The genres of 'Alice in Terrorland' are Horror, Thriller.",Answer the following question:
Who is the lead actor in Alice in Terrorland?,The lead actor in 'Alice in Terrorland' is Lizzy Willis.,Answer the following question:
When was Alice in Terrorland released?,"'Alice in Terrorland' was released on December 26, 2023.",Answer the following question:
Who are the supporting actors in Alice in Terrorland?,"The supporting actors in 'Alice in Terrorland' are Rula Lenska, Jon-Paul Gates, Steve Wraith, Lila Sarner, Nigel Troup, Nikol Atanasova, Rikki Kimpton.",Answer the following question:
What is the rating of Alice in Terrorland?,The rating of 'Alice in Terrorland' is 6.033.,Answer the following question:
What is the movie Alice in Terrorland about?,"The film titled 'Alice in Terrorland' was released on December 26, 2023. It falls under the genres of Horror, Thriller. The film was directed by Richard John Taylor and stars Lizzy Willis, Rula Lenska, Jon-Paul Gates, Steve Wraith, Lila Sarner, Nigel Troup, Nikol Atanasova, Rikki Kimpton. The lead actor is Lizzy Willis. Plot summary: A recently bereaved teenage girl goes to live with her aunt in a secluded woodland house, unaware that sinister forces lurk within.. It has received a rating of 6.033.",Answer the following question:
What is the plot of Deadpool & Wolverine?,"The plot of 'Deadpool & Wolverine' is about A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine..",Answer the following question:
Who are in the cast of Deadpool & Wolverine?,"The cast of 'Deadpool & Wolverine' includes Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Morena Baccarin, Rob Delaney, Leslie Uggams, Karan Soni, Brianna Hildebrand, Shioli Kutsuna.",Answer the following question:
Who directed Deadpool & Wolverine?,'Deadpool & Wolverine' was directed by Shawn Levy.,Answer the following question:
What are the genres of Deadpool & Wolverine?,"The genres of 'Deadpool & Wolverine' are Science Fiction, Action, Comedy.",Answer the following question:
Who is the lead actor in Deadpool & Wolverine?,The lead actor in 'Deadpool & Wolverine' is Ryan Reynolds.,Answer the following question:
When was Deadpool & Wolverine released?,"'Deadpool & Wolverine' was released on July 24, 2024.",Answer the following question:
Who are the supporting actors in Deadpool & Wolverine?,"The supporting actors in 'Deadpool & Wolverine' are Hugh Jackman, Emma Corrin, Matthew Macfadyen, Morena Baccarin, Rob Delaney, Leslie Uggams, Karan Soni, Brianna Hildebrand, Shioli Kutsuna.",Answer the following question:
What is the rating of Deadpool & Wolverine?,The rating of 'Deadpool & Wolverine' is 0.0.,Answer the following question:
What is the movie Deadpool & Wolverine about?,"The film titled 'Deadpool & Wolverine' was released on July 24, 2024. It falls under the genres of Science Fiction, Action, Comedy. The film was directed by Shawn Levy and stars Ryan Reynolds, Hugh Jackman, Emma Corrin, Matthew Macfadyen, Morena Baccarin, Rob Delaney, Leslie Uggams, Karan Soni, Brianna Hildebrand, Shioli Kutsuna. The lead actor is Ryan Reynolds. Plot summary: A listless Wade Wilson toils away in civilian life with his days as the morally flexible mercenary, Deadpool, behind him. But when his homeworld faces an existential threat, Wade must reluctantly suit-up again with an even more reluctant Wolverine.. It has received a rating of 0.0.",Answer the following question:
What is the plot of Godzilla x Kong: The New Empire?,"The plot of 'Godzilla x Kong: The New Empire' is about Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence - and our own..",Answer the following question:
Who are in the cast of Godzilla x Kong: The New Empire?,"The cast of 'Godzilla x Kong: The New Empire' includes Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle, Alex Ferns, Fala Chen, Rachel House, Ron Smyck, Chantelle Jamieson, Greg Hatton.",Answer the following question:
Who directed Godzilla x Kong: The New Empire?,'Godzilla x Kong: The New Empire' was directed by Adam Wingard.,Answer the following question:
What are the genres of Godzilla x Kong: The New Empire?,"The genres of 'Godzilla x Kong: The New Empire' are Science Fiction, Action, Adventure.",Answer the following question:
Who is the lead actor in Godzilla x Kong: The New Empire?,The lead actor in 'Godzilla x Kong: The New Empire' is Rebecca Hall.,Answer the following question:
When was Godzilla x Kong: The New Empire released?,"'Godzilla x Kong: The New Empire' was released on March 27, 2024.",Answer the following question:
Who are the supporting actors in Godzilla x Kong: The New Empire?,"The supporting actors in 'Godzilla x Kong: The New Empire' are Brian Tyree Henry, Dan Stevens, Kaylee Hottle, Alex Ferns, Fala Chen, Rachel House, Ron Smyck, Chantelle Jamieson, Greg Hatton.",Answer the following question:
What is the rating of Godzilla x Kong: The New Empire?,The rating of 'Godzilla x Kong: The New Empire' is 7.191.,Answer the following question:
What is the movie Godzilla x Kong: The New Empire about?,"The film titled 'Godzilla x Kong: The New Empire' was released on March 27, 2024. It falls under the genres of Science Fiction, Action, Adventure. The film was directed by Adam Wingard and stars Rebecca Hall, Brian Tyree Henry, Dan Stevens, Kaylee Hottle, Alex Ferns, Fala Chen, Rachel House, Ron Smyck, Chantelle Jamieson, Greg Hatton. The lead actor is Rebecca Hall. Plot summary: Following their explosive showdown, Godzilla and Kong must reunite against a colossal undiscovered threat hidden within our world, challenging their very existence - and our own.. It has received a rating of 7.191.",Answer the following question:
What is the plot of Goyo?,"The plot of 'Goyo' is about A young autistic museum guide lives by a strict routine -- until he falls in love with his coworker and must confront a whirlwind of new, intense emotions..",Answer the following question:
Who are in the cast of Goyo?,"The cast of 'Goyo' includes Nicolas Furtado, Nancy Duplaa, Soledad Villamil, Pablo Rago, Cecilia Roth, Diego Alonso, Milo Zeus Lis, Balthazar Murillo, Javier Linares, Graciana Urbani.",Answer the following question:
Who directed Goyo?,'Goyo' was directed by Marcos Carnevale.,Answer the following question:
